Car ID,Brand,Model,Price,Kilométrage,Année,Carrosserie,Boite vitesse,Cylindrée,Nombre de portes,Puissance fiscale,Transmission,Énergie
105724,kia,RI,49000.0,98000.0,2018.0,Citadine,Manuelle,1197.0,50.0,5.0,Traction,Essence
103219,kia,PI,51500.0,27000.0,2022.0,Citadine,Automatique,1200.0,50.0,5.0,Traction,Essence
109348,kia,SE,95000.0,60000.0,2021.0,Autres,Automatique,1453.0,50.0,8.0,Intégrale,Essence
107935,kia,RI,37500.0,150000.0,2016.0,Berline,Manuelle,1240.0,40.0,5.0,Intégrale,Essence
109439,mercedes-benz,CL,59900.0,316000.0,2015.0,Berline,Manuelle,1598.0,40.0,8.0,Traction,Essence
109386,mercedes-benz,CL,53000.0,190000.0,2011.0,Berline,Automatique,1798.0,40.0,11.0,Traction,Essence
108899,mercedes-benz,CL,144900.0,100000.0,2020.0,Berline,Automatique,1298.0,40.0,7.0,Traction,Essence
108748,mercedes-benz,CL,105000.0,172000.0,2018.0,Berline,Automatique,1598.0,40.0,8.0,Traction,Essence
108533,mercedes-benz,ML,80000.0,240000.0,2009.0,SUV/4x4,Automatique,2987.0,40.0,15.0,Traction,Diesel
108367,mercedes-benz,ML,38000.0,283000.0,2006.0,SUV/4x4,Automatique,2987.0,40.0,15.0,Traction,Diesel
108289,mercedes-benz,CL,56000.0,174000.0,2014.0,Citadine,Manuelle,1598.0,40.0,6.0,Traction,Essence
108035,mercedes-benz,CL,110000.0,252000.0,2017.0,Berline,Automatique,1598.0,40.0,9.0,Traction,Essence
107973,mercedes-benz,ML,56000.0,237000.0,2006.0,SUV/4x4,Automatique,2998.0,40.0,15.0,Traction,Diesel
107754,mercedes-benz,CL,119000.0,146000.0,2017.0,Berline,Automatique,1595.0,40.0,8.0,Traction,Essence
107711,mercedes-benz,CL,260000.0,37000.0,2021.0,Berline,Automatique,1998.0,40.0,10.0,Traction,Hybride
107606,mercedes-benz,CL,78000.0,112000.0,2007.0,Berline,Automatique,3498.0,40.0,19.0,Traction,Essence
107559,mercedes-benz,CL,49500.0,194000.0,2009.0,Coupé,Automatique,1798.0,20.0,12.0,Traction,Essence
107404,mercedes-benz,CL,63900.0,189000.0,2009.0,Berline,Automatique,2198.0,40.0,11.0,Traction,Diesel
107285,mercedes-benz,CL,77500.0,191000.0,2013.0,Berline,Automatique,1598.0,40.0,8.0,Traction,Essence
106865,mercedes-benz,CL,185370.0,36000.0,2022.0,Berline,Automatique,1332.0,40.0,7.0,Traction,Essence
106153,mercedes-benz,CL,57000.0,160000.0,2009.0,Berline,Automatique,2198.0,40.0,12.0,Traction,Diesel
106098,mercedes-benz,CL,125000.0,157000.0,2016.0,Berline,Automatique,1598.0,40.0,6.0,Traction,Diesel
106095,mercedes-benz,CL,248000.0,15000.0,2022.0,Berline,Automatique,1498.0,40.0,9.0,Traction,Essence
105864,mercedes-benz,CL,49500.0,185000.0,2009.0,Berline,Automatique,1598.0,40.0,9.0,Traction,Essence
105656,mercedes-benz,GL,92000.0,97000.0,2016.0,Citadine,Automatique,1598.0,40.0,8.0,Traction,Essence
105520,mercedes-benz,CL,135000.0,113000.0,2017.0,Berline,Automatique,1598.0,40.0,8.0,Traction,Essence
105240,mercedes-benz,CL,129000.0,101000.0,2020.0,Citadine,Automatique,1298.0,40.0,7.0,Traction,Essence
105236,mercedes-benz,CL,119000.0,223000.0,2017.0,Berline,Automatique,1598.0,40.0,9.0,Traction,Essence
105174,mercedes-benz,CL,145000.0,112000.0,2019.0,Berline,Automatique,1498.0,40.0,10.0,Traction,Hybride
104102,mercedes-benz,CL,92000.0,239000.0,2017.0,Berline,Automatique,1598.0,40.0,7.0,Traction,Essence
104066,mercedes-benz,CL,55000.0,199000.0,2010.0,Berline,Automatique,1789.0,40.0,11.0,Traction,Essence
103521,mercedes-benz,CL,149500.0,70000.0,2021.0,Berline,Automatique,1298.0,40.0,7.0,Traction,Essence
103312,mercedes-benz,CL,64500.0,238000.0,2009.0,Berline,Automatique,2143.0,50.0,9.0,Propulsion,Diesel
103129,mercedes-benz,CL,85900.0,137000.0,2019.0,Citadine,Automatique,1298.0,40.0,7.0,Traction,Essence
102615,mercedes-benz,GL,118000.0,65000.0,2016.0,Citadine,Automatique,1595.0,40.0,8.0,Traction,Essence
102142,mercedes-benz,CL,62000.0,182000.0,2013.0,Citadine,Manuelle,1598.0,40.0,7.0,Traction,Essence
101641,mercedes-benz,CL,115000.0,20000.0,2018.0,Berline,Automatique,1598.0,40.0,7.0,Traction,Essence
100742,mercedes-benz,CL,95000.0,151000.0,2008.0,Berline,Automatique,3499.0,40.0,19.0,Traction,Essence
99747,mercedes-benz,CL,134900.0,59000.0,2019.0,Berline,Automatique,1299.0,40.0,7.0,Traction,Essence
98425,mercedes-benz,CL,32000.0,276000.0,2003.0,Berline,Automatique,1998.0,40.0,10.0,Traction,Essence
92747,mercedes-benz,CL,55500.0,178000.0,2009.0,Berline,Automatique,2897.0,40.0,15.0,Propulsion,Essence
88712,mercedes-benz,CL,119000.0,143000.0,2018.0,Berline,Automatique,1598.0,40.0,9.0,Traction,Essence
108682,mercedes-benz,ML,80000.0,160000.0,2010.0,Berline,Automatique,3500.0,50.0,15.0,Intégrale,Diesel
108340,mercedes-benz,CL,170000.0,25000.0,2021.0,Berline,Automatique,1399.0,40.0,8.0,Traction,Hybride
106120,mercedes-benz,CL,130000.0,35000.0,2020.0,Citadine,Automatique,1500.0,50.0,8.0,Traction,Hybride
109001,mercedes-benz,CL,228000.0,98000.0,2021.0,Berline,Automatique,1998.0,50.0,11.0,Traction,Hybride
105972,mercedes-benz,CL,145000.0,138000.0,2020.0,Berline,Automatique,1499.0,50.0,6.0,Traction,Diesel
87599,mercedes-benz,CL,62000.0,160000.0,2011.0,Coupé,Automatique,899.0,30.0,11.0,Propulsion,Essence
108909,mercedes-benz,GL,197000.0,130000.0,2018.0,Autres,Automatique,1991.0,50.0,10.0,Traction,Hybride
107366,mercedes-benz,CL,168000.0,158000.0,2020.0,Berline,Automatique,1597.0,50.0,8.0,Traction,Diesel
109424,mercedes-benz,CL,166000.0,65000.0,2022.0,Berline,Automatique,1300.0,40.0,8.0,Traction,Essence
103889,mercedes-benz,GL,256000.0,29000.0,2021.0,SUV/4x4,Automatique,1998.0,50.0,12.0,Propulsion,Hybride
109215,mercedes-benz,CL,125000.0,35000.0,2019.0,Citadine,Automatique,1332.0,50.0,8.0,Traction,Essence
106625,mercedes-benz,CL,138000.0,132000.0,2017.0,Berline,Automatique,1600.0,50.0,9.0,Traction,Essence
107439,mercedes-benz,CL,55500.0,235000.0,2013.0,Berline,Manuelle,1600.0,50.0,9.0,Traction,Essence
106289,mercedes-benz,CL,89000.0,164000.0,2014.0,Berline,Automatique,1600.0,50.0,9.0,Traction,Essence
109019,mercedes-benz,GL,285000.0,46000.0,2021.0,SUV/4x4,Automatique,1999.0,50.0,10.0,Traction,Hybride
108443,mercedes-benz,CL,150000.0,115000.0,2020.0,Berline,Automatique,1600.0,40.0,8.0,Intégrale,Diesel
108003,mercedes-benz,CL,430000.0,0.0,2024.0,Berline,Automatique,2000.0,40.0,10.0,Intégrale,Essence
107983,mercedes-benz,GL,420000.0,30000.0,2022.0,SUV/4x4,Automatique,2000.0,40.0,8.0,Intégrale,Hybride
107981,mercedes-benz,GL,440000.0,0.0,2024.0,SUV/4x4,Automatique,2000.0,40.0,11.0,Intégrale,Hybride
107979,mercedes-benz,CL,185000.0,9000.0,2020.0,Berline,Automatique,1500.0,40.0,10.0,Intégrale,Hybride
107959,mercedes-benz,CL,110000.0,60000.0,2012.0,Berline,Automatique,3000.0,40.0,15.0,Intégrale,Essence
107941,mercedes-benz,ML,75000.0,127000.0,2010.0,SUV/4x4,Automatique,3500.0,40.0,19.0,Intégrale,Essence
107937,mercedes-benz,CL,220000.0,16000.0,2023.0,Berline,Automatique,1400.0,40.0,9.0,Intégrale,Hybride
109458,mercedes-benz,GL,250000.0,24804.0,2020.0,SUV/4x4,Automatique,1991.0,40.0,11.0,Traction,Essence
102855,mercedes-benz,CL,95000.0,115000.0,2008.0,Coupé,Automatique,2510.0,40.0,30.0,Traction,Essence
108810,mercedes-benz,CL,139000.0,36000.0,2020.0,Berline,Automatique,1497.0,40.0,9.0,Traction,Essence
106960,mercedes-benz,CL,230000.0,80000.0,2019.0,Coupé,Automatique,2000.0,20.0,12.0,Traction,Essence
109452,mercedes-benz,CL,149000.0,112000.0,2020.0,Berline,Automatique,1332.0,40.0,8.0,Traction,Essence
109416,mercedes-benz,ML,70000.0,195000.0,2011.0,SUV/4x4,Automatique,3500.0,50.0,19.0,Propulsion,Essence
108894,mercedes-benz,CL,240000.0,100000.0,2021.0,Berline,Automatique,2000.0,50.0,11.0,Traction,Hybride
108356,mercedes-benz,CL,78000.0,160000.0,2013.0,Berline,Automatique,1800.0,40.0,8.0,Intégrale,Essence
108194,mercedes-benz,CL,85000.0,250000.0,2011.0,Citadine,Automatique,3000.0,40.0,10.0,Traction,Diesel
107988,mercedes-benz,CL,118000.0,154000.0,2018.0,Berline,Automatique,1600.0,50.0,9.0,Traction,Essence
107987,mercedes-benz,CL,128000.0,107000.0,2018.0,Berline,Automatique,1600.0,50.0,9.0,Traction,Essence
107946,mercedes-benz,CL,110000.0,120000.0,2019.0,Berline,Automatique,2000.0,50.0,8.0,Propulsion,Essence
107888,mercedes-benz,GL,153000.0,142000.0,2017.0,SUV/4x4,Automatique,2000.0,50.0,12.0,Traction,Essence
