Boite vitesse,Brand,Car ID,Carrosserie,Couleur extérieure,Couleur intérieure,Cylindrée,Date de l'annonce,Gouvernorat,Génération,Kilométrage,Marque,Mise en circulation,Model,Modèle,Moteur,Nombre de places,Nombre de portes,Price,Puissance,Puissance cumulée,Puissance fiscale,Puissance thermique,Sellerie,Transmission,Énergie
Manuelle,hyundai,108897,Compacte,Rouge,Noir,3000cm³,02.12.2024,Tunis,III Phase 110/2020 - 11/2023,47 000km,Hyundai,05.2022,i20,i20,1.2 i 16V,5,4,60 000DT,84ch dyn,,5cv,,Tissu,Traction,Essence
Manuelle,hyundai,108869,Citadine,Gris argent,Noir,1197cm³,01.12.2024,Sfax,II 5 Portes11/2014 - 07/2018,150 000km,Hyundai,01.2019,i20,i20,1.2 i 16V,5,5,45 000DT,84ch dyn,,5cv,,Tissu,Traction,Essence
Automatique,hyundai,108852,SUV/4x4,Gris argent,Beige,1999cm³,01.12.2024,Ben Arous,III07/2015 - 07/2018,215 000km,Hyundai,11.2015,tucson,Tucson,2.0 GDI 16V 2WD,5,4,84 000DT,155ch dyn,,11cv,,Tissu,Intégrale,Essence
Manuelle,hyundai,108429,Compacte,Blanc,Gris,1197cm³,27.11.2024,Tunis,II 5 Portes11/2014 - 07/2018,245 000km,Hyundai,12.2015,i20,i20,,5,5,32 000DT,,,4cv,,Cuir partiel,Traction,Essence
Automatique,hyundai,108307,Coupé,Rouge,Noir,1197cm³,27.11.2024,Ariana,II phase 111/2020 - 11/2023,24 000km,Hyundai,08.2021,grand-i10,Grand i10,1.2 83cv boite auto,5,4,52 000DT,83ch dyn,,5cv,,Tissu,Traction,Essence
Automatique,hyundai,108666,SUV/4x4,Gris Shark,Noir,1598cm³,27.11.2024,Tunis,IV10/2020 - Aujourd'hui,0km,Hyundai,01.2024,tucson,Tucson,1.6 TGDi 16V 4WD DCT7,5,5,168 000DT,150ch dyn,,10cv,,Cuir partiel,Traction,Essence
Automatique,hyundai,108661,Autres,Vert,Noir,1591cm³,25.11.2024,Tunis,(SB)04/2011 - 12/2014,80 000km,Hyundai,12.2012,veloster,Veloster,1.6 MPI Coupé 16V,4,3,45 000DT,132ch dyn,,8cv,,Similicuir,Traction,Essence
Automatique,hyundai,108543,SUV/4x4,Rouge,Noir,1591cm³,22.11.2024,Ariana,I Phase 210/2018 - 09/2023,90 500km,Hyundai,02.2019,creta,Creta,1.6 l,5,5,80 000DT,123ch dyn,,7cv,,Cuir partiel,Traction,Essence
Manuelle,hyundai,108521,Berline,Autre,Noir,1197cm³,21.11.2024,Tunis,01/2015 - 10/2020,194 000km,Hyundai,09.2017,grand-i10-sedan,Grand i10 Sedan,1.2 L,5,5,37 000DT,87ch dyn,,5cv,,Similicuir,Traction,Essence
Automatique,hyundai,107688,SUV/4x4,Gris argent,Beige,5555cm³,18.11.2024,Tunis,IV10/2020 - Aujourd'hui,120 000km,Hyundai,10.2020,tucson-hybride,Tucson Hybride,,5,5,105 000DT,,,7cv,,Cuir intégral,Traction,Hybride diesel
Automatique,hyundai,107194,Citadine,Bleu,Noir,1200cm³,13.11.2024,Ariana,I01/2014 - 10/2020,116 000km,Hyundai,03.2020,grand-i10,Grand i10,,5,5,40 000DT,,,5cv,,Tissu,Traction,Essence
