Boite vitesse,Brand,Car ID,Carrosserie,Couleur extérieure,Couleur intérieure,Cylindrée,Date de l'annonce,Gouvernorat,Génération,Kilométrage,Marque,Mise en circulation,Model,Modèle,Moteur,Nombre de places,Nombre de portes,Price,Puissance,Puissance cumulée,Puissance fiscale,Puissance thermique,Sellerie,Transmission,Énergie
Automatique,audi,108609,SUV/4x4,Blanc,Noir,999cm³,20.12.2024,Ariana,06/2016 - 08/2020,78 000km,Audi,12.2018,q2,Q2,,5,4,99 500DT,,,7cv,,Tissu,Traction,Essence
Automatique,audi,107671,Berline,Autre,Marron,1798cm³,20.12.2024,Ariana,,117 000km,Audi,10.2015,a6,A6,,5,4,99 500DT,,,10cv,,Similicuir,Traction,Essence
Automatique,audi,107646,Berline,Gris anthracite,Gris,1398cm³,20.12.2024,Ben Arous,IV Phase 1 (B9)01/2016 - 06/2019,141 000km,Audi,04.2017,a4,A4,,5,4,85 000DT,,,8cv,,Similicuir,Traction,Essence
Automatique,audi,107403,SUV/4x4,Blanc,Noir,1398cm³,20.12.2024,Ben Arous,Série 2 (F3N) Sportback06/2019 - Aujourd'hui,122 000km,Audi,03.2021,q3-sportback,Q3 Sportback,,5,4,152 000DT,,,9cv,,Similicuir,Traction,Essence
Automatique,audi,106393,Coupé,Noir,Noir,1998cm³,20.12.2024,Ben Arous,,201 000km,Audi,10.2011,a5-coupe,A5 Coupé,,4,2,48 000DT,,,10cv,,Similicuir,Traction,Essence
Automatique,audi,106355,Coupé,Gris anthracite,Autre,1998cm³,20.12.2024,Tunis,,168 000km,Audi,08.2009,a5-coupe,A5 Coupé,,5,2,53 000DT,,,13cv,,Similicuir,Traction,Essence
Manuelle,audi,104167,Berline,Noir,Noir,1798cm³,20.12.2024,Ben Arous,III Phase 1 (B8)01/2008 - 10/2011,233 000km,Audi,01.2011,a4,A4,,5,4,46 000DT,,,7cv,,Similicuir,Traction,Essence
Automatique,audi,101733,SUV/4x4,Beige,Noir,2967cm³,20.12.2024,Ben Arous,Série 1 Phase 206/2009 - 08/2015,180 000km,Audi,04.2010,q7,Q7,,7,5,69 000DT,,,16cv,,Similicuir,Traction,Diesel
Automatique,audi,100354,Berline,Blanc,Beige,1984cm³,20.12.2024,Ben Arous,III Phase 1 (B8)01/2008 - 10/2011,241 000km,Audi,11.2008,a4,A4,,5,4,50 000DT,,,11cv,,Similicuir,Traction,Essence
Manuelle,audi,99061,Berline,Noir,,,20.12.2024,Ben Arous,III Phase 2 (B8)11/2011 - 12/2015,175 000km,Audi,09.2014,a4,A4,,,,50 000DT,,,7cv,,,Traction,Essence
Automatique,audi,97437,SUV/4x4,Noir,,,20.12.2024,Ben Arous,Série 103/2006 - 06/2009,249 000km,Audi,06.2006,q7,Q7,,,,60 000DT,,,16cv,,,Traction,Diesel
Automatique,audi,108592,Coupé,Autre,Noir,1395cm³,19.12.2024,Monastir,Série 2 (F3N) Sportback06/2019 - Aujourd'hui,85 000km,Audi,05.2021,q3-sportback,Q3 Sportback,45e 1.4 TFSI 16V GPF 245 PHEV DSG6,5,5,168 000DT,,245ch dyn,8cv,150ch dyn,Cuir partiel,Traction,Hybride rechargeable essence
Automatique,audi,108978,Compacte,Rouge,Gris,999cm³,19.12.2024,Ariana,II Sportback07/2018 - Aujourd'hui,15 000km,Audi,11.2023,a1-sportback,A1 Sportback,30 1.0 TFSI 12V GPF S-Tronic7,5,5,112 000DT,116ch dyn,,6cv,,Tissu,Traction,Essence
Automatique,audi,107199,SUV/4x4,Blanc,Noir,1998cm³,19.12.2024,Nabeul,I (8RB) Phase 206/2012 - 04/2016,270 000km,Audi,02.2014,q5,Q5,,5,5,78 000DT,,,10cv,,Alcantara,Traction,Diesel
