Marque,Modèle,Génération,Couleur extérieure,Couleur intérieure,Sellerie,Nombre de places,Nombre de portes,URL
Mercedes-Benz,GLC Coupé,(C254) Coupé06/2022 - Aujourd'hui,Noir,Gris,Cuir intégral,5,4,https://www.automobile.tn/fr/occasion/s=brand!:mercedes-benz/mercedes-benz/220/109446
Wallyscar,Wolf,07/2023 - Aujourd'hui,Noir,Rouge,Similicuir,7,5,https://www.automobile.tn/fr/occasion/s=brand!:mercedes-benz/mercedes-benz/classe-e/109322
