Boite vitesse,Brand,Car ID,Carrosserie,Couleur extérieure,Couleur intérieure,Cylindrée,Date de l'annonce,Gouvernorat,Génération,Kilométrage,Marque,Mise en circulation,Model,Modèle,Moteur,Nombre de places,Nombre de portes,Price,Puissance,Puissance fiscale,Sellerie,Transmission,Énergie
Manuelle,peugeot,108504,Utilitaire,Blanc,Noir,1560cm³,21.11.2024,Sfax,(K9)10/2018 - 05/2024,122 490km,Peugeot,10.2020,partner,Partner,,2,4,42 500DT,,5cv,Tissu,Traction,Diesel
Manuelle,peugeot,108482,Berline,Blanc,Autre,1199cm³,20.11.2024,Sfax,II (P21) 5 Portes10/2019 - 03/2024,75 000km,Peugeot,03.2022,208,208,1.2 PureTech 12V S&S,4,5,42 000DT,75ch dyn,4cv,Tissu,Propulsion,Essence
Manuelle,peugeot,108407,Utilitaire,Blanc,Gris,1560cm³,18.11.2024,Ariana,(K9)10/2018 - 05/2024,114 000km,Peugeot,12.2020,partner,Partner,,2,4,47 000DT,,5cv,Tissu,Traction,Diesel
Manuelle,peugeot,101971,SUV/4x4,Noir,Gris,1199cm³,18.11.2024,Tunis,(A94) 5HB04/2013 - 10/2019,40 000km,Peugeot,10.2018,2008,2008,,5,5,54 000DT,,5cv,Tissu,Traction,Essence
Manuelle,peugeot,108383,Citadine,Gris argent,Noir,1499cm³,17.11.2024,Tunis,I Phase 2 5 Portes04/2015 - 10/2019,104 000km,Peugeot,01.2018,208,208,,5,5,28 000DT,,5cv,Tissu,Traction,Essence
Manuelle,peugeot,108354,Compacte,Noir,Noir,1199cm³,16.11.2024,Ariana,I Phase 2 5 Portes04/2015 - 10/2019,56 540km,Peugeot,05.2019,208,208,1.2 VTi 12V,5,5,31 500DT,68ch dyn,4cv,Tissu,Propulsion,Essence
Manuelle,peugeot,108966,Citadine,Blanc,Gris,1199cm³,18.12.2024,Sousse,I Phase 2 5 Portes04/2015 - 10/2019,116 000km,Peugeot,11.2019,208,208,,5,4,28 000DT,,5cv,Tissu,Traction,Essence
Automatique,peugeot,108599,SUV/4x4,Gris Shark,Noir,1199cm³,08.12.2024,Sousse,II (P24E) 5HB10/2019 - Aujourd'hui,156 000km,Peugeot,02.2021,2008,2008,1.2 THP Puretech 12V EAT6 S&S,5,5,80 000DT,130ch dyn,7cv,Tissu,Traction,Essence
Manuelle,peugeot,109061,Citadine,Blanc,Noir,899cm³,07.12.2024,Ben Arous,I Phase 2 5 Portes04/2015 - 10/2019,40 000km,Peugeot,08.2020,208,208,1.2 VTi 12V,5,5,36 000DT,82ch dyn,4cv,Similicuir,Traction,Essence
Manuelle,peugeot,102808,SUV/4x4,Gris argent,Autre,1199cm³,03.12.2024,La Manouba,(A94) 5HB04/2013 - 10/2019,82 000km,Peugeot,11.2016,2008,2008,,5,5,45 000DT,,5cv,Alcantara,Traction,Essence
Manuelle,peugeot,108629,Citadine,Blanc,Gris,1199cm³,24.11.2024,Ariana,I Phase 2 5 Portes04/2015 - 10/2019,56 000km,Peugeot,06.2016,208,208,1.2 VTi Puretech 12V,4,5,40 000DT,68ch dyn,5cv,Tissu,Traction,Essence
