Boite vitesse,Brand,Car ID,Carrosserie,Couleur extérieure,Couleur intérieure,Cylindrée,Date de l'annonce,Gouvernorat,Génération,Kilométrage,Marque,Mise en circulation,Model,Modèle,Moteur,Nombre de places,Nombre de portes,Price,Puissance,Puissance cumulée,Puissance fiscale,Puissance thermique,Sellerie,Transmission,Énergie
Automatique,kia,108029,SUV/4x4,Noir,Noir,1600cm³,19.11.2024,Ariana,IV Phase 109/2015 - 07/2018,111 000km,KIA,01.2019,sportage,Sportage,1.6 GDi CVVT 16V 4x2  Boite Auto,5,5,75 000DT,132ch dyn,,8cv,,Cuir intégral,Traction,Essence
Automatique,kia,107742,Citadine,Noir,Noir,1200cm³,18.11.2024,Tunis,(TA) 5 Portes05/2011 - 01/2015,74 000km,KIA,05.2019,picanto,Picanto,1.2 MPi 16V,5,5,45 800DT,85ch dyn,,5cv,,Similicuir,Propulsion,Essence
Automatique,kia,108428,SUV/4x4,Gris anthracite,Noir,1482cm³,18.11.2024,Ben Arous,Phase 104/2022 - 10/2023,35 000km,KIA,05.2023,xceed,XCeed,,5,5,110 000DT,,,9cv,,Tissu,Traction,Essence
Manuelle,kia,108406,Coupé,Noir,Noir,1598cm³,18.11.2024,Ariana,III01/2014 - 12/2017,114 000km,KIA,09.2014,cerato-5p,Cerato 5p,1.6 L BVM,5,5,43 000DT,130ch dyn,,7cv,,Tissu,Traction,Essence
Manuelle,kia,108378,Berline,Noir,Noir,1200cm³,17.11.2024,Sfax,III Phase 2 3 Portes09/2014 - 10/2016,93 000km,KIA,12.2014,rio,Rio Berline,1.2 i-CVVT 16V,5,4,35 000DT,85ch dyn,,6cv,,Tissu,Traction,Essence
Manuelle,kia,108111,Citadine,Blanc,Noir,1197cm³,14.11.2024,Ariana,IV Phase 209/2020 - Aujourd'hui,40 500km,KIA,11.2021,rio-5p,Rio 5p,,5,4,65 900DT,,,5cv,,Similicuir,Traction,Essence
Manuelle,kia,108269,Compacte,Noir,Gris,1197cm³,14.11.2024,Sfax,IV Phase 209/2020 - Aujourd'hui,65 000km,KIA,11.2021,rio-5p,Rio 5p,1.2 i-CVVT 16V ISG,5,5,64 000DT,84ch dyn,,5cv,,Cuir intégral,Traction,Essence
Manuelle,kia,108262,Berline,Gris argent,Gris,1399cm³,13.11.2024,Nabeul,II Phase 2 Sedan09/2006 - 05/2011,156 900km,KIA,05.2011,rio-5p,Rio 5p,,5,4,30 000DT,,,6cv,,Tissu,Traction,Essence
Manuelle,kia,105724,Citadine,Noir,Noir,1197cm³,12.11.2024,Médenine,IV11/2016 - 09/2020,98 000km,KIA,06.2018,rio-5p,Rio 5p,1.2 i-CVVT 16V,5,5,49 000DT,84ch dyn,,5cv,,Tissu,Traction,Essence
Automatique,kia,103219,Citadine,Noir,Noir,1200cm³,19.12.2024,Tunis,(JA) Phase 207/2020 - Aujourd'hui,27 000km,KIA,11.2022,picanto,Picanto,,5,5,51 500DT,,,5cv,,Cuir partiel,Traction,Essence
Automatique,kia,109348,Autres,Gris Shark,Noir,1453cm³,16.12.2024,Ben Arous,Phase 111/2020 - 12/2024,60 000km,KIA,06.2021,seltos,Seltos,1.4 T-GDI  boite auto,5,5,95 000DT,140ch dyn,,8cv,,Tissu,Intégrale,Essence
Manuelle,kia,107935,Berline,Bleu,Gris,1240cm³,16.11.2024,Ariana,III Phase 2 5 Portes09/2014 - 10/2016,150 000km,KIA,03.2016,rio,Rio Berline,1.2 i-CVVT 16V,5,4,37 500DT,85ch dyn,,5cv,,Tissu,Intégrale,Essence
