Title,Price,Fuel,Mileage,Year
Volkswagen Golf 7,115 000,Essence,73 000,2017
Porsche Macan,375 000,Essence,6 900,2023
BMW Série 3,174 000,Essence,80 000,2021
Audi Q3,190 000,Essence,2 000,2024
Porsche Cayenne Coupé,370 000,Essence,59 000,2019
Toyota Land Cruiser,350 000,Diesel,98 000,2016
Mini 5 portes,58 000,Essence,75 000,2015
Mercedes-Benz Classe E coupé,340 000,Hybride,86 000,2018
Peugeot 3008,82 000,Essence,87 000,2019
Toyota RAV 4,56 000,Essence,280 000,2016
Fiat 500 C,45 500,Essence,71 000,2017
Mercedes-Benz GLC Coupé,240 000,Diesel,52 000,2020
Suzuki Swift,42 000,Essence,69 000,2020
Toyota Corolla,76 000,Essence,32 000,2022
Ssangyong Korando,92 500,Essence,80 000,2021
Jeep Wrangler Sahara,225 000,Essence,115 000,2018
Peugeot 2008 Allure,40 000,Essence,96 000,2015
BMW Série 4 Gran Coupé,100 000,Essence,121 000,2019
Volkswagen Tiguan,95 000,Essence,123 000,2021
BMW Série 3 318i,59 000,Essence,200 000,2015
Peugeot 307,25 500,Essence,110 451,2007
Mercedes-Benz Classe A AMG,118 000,Diesel,96 000,2019
Mini Countryman All4,139 500,Hybride,33 000,2020
MG ZS,58 000,Essence,110 000,2021
Mercedes-Benz Classe C,245 000,Essence,7 300,2022
KIA Sportage Hybride,120 000,Hybride,53 000,2020
BMW Série 1 Pack M,115 000,Essence,110,2020
Fiat 500 Dolcevita,55 000,Hybride,78 000,2021
Fiat Tipo 5 portes,49 500,Essence,68 000,2021
Renault Clio,49 500,Diesel,138 000,2020
Mercedes-Benz Classe C,99 000,Essence,158 000,2015
Suzuki Celerio,39 500,Essence,0,2024
Volkswagen Golf 7,48 500,Essence,153 000,2015
Renault Megane,59 500,Diesel,148 000,2021
Peugeot 208 Style,45 500,Diesel,128 000,2020
Audi Q5 S-line,78 000,Diesel,270 000,2014
Citroën C1 Importée Tn245,38 500,Essence,56 000,2021
Haval H6 Luxury,76 000,Essence,138 000,2021
Peugeot 3008,79 000,Diesel,148 000,2020
Volkswagen Amarok TDI 4*4,57 000,Diesel,198 000,2012
Mercedes-Benz CLA AMG,145 000,Diesel,138 000,2020
Mercedes-Benz CLA Importée Tn245,118 000,Diesel,138 000,2020
Mercedes-Benz CLA,149 000,Essence,87 000,2021
Volkswagen Golf 8 STYLE 1.5 BVA eTSI  importée,110 000,Essence,87 000,2021
KIA Sportage GT-Line,98 000,Diesel,119 000,2019
Haval H6,99 000,Essence,16 000,2022
BMW Série 5 Pack M,185 000,Essence,70 000,2021
BMW Série 4 Gran Coupé,107 000,Essence,53 000,2020
Hyundai Grand i10 Sedan,30 000,Essence,150 000,2017
Mercedes-Benz Classe C AMG +,135 000,Essence,146 000,2015
Volkswagen Golf 8 Active,95 000,Essence,69 000,2021
Mercedes-Benz GLE Coupé,420 000,Diesel,54 000,2020
Mazda CX-5 High Grade,115 000,Essence,63 000,2019
MG ZS,65 000,Essence,65 000,2019
Seat Leon,70 000,Essence,61 847,2020
Mercedes-Benz CLA Urban,97 000,Essence,125 043,2018
KIA Sportage Hybride GT-Line,150 000,Hybride,36 000,2023
KIA Rio 5p SX,54 000,Essence,68 954,2019
Volkswagen Golf 7 Highline,75 000,Essence,26 043,2016
Volkswagen Golf 8 Life,87 000,Essence,70 001,2020
Toyota Land Cruiser,175 000,Diesel,142 060,2010
Volkswagen Golf 7 Confortline,69 000,Essence,169 452,2019
BMW Série 1,40 000,Essence,131 766,2009
Mercedes-Benz Classe E AMG,165 000,Essence,55 001,2019
Mercedes-Benz Classe C AMG +,275 000,Essence,0,2024
Mercedes-Benz GLA La nouvelle Gla 250e AMG,235 000,Hybride,10 730,2023
Mercedes-Benz Classe E AMG,390 000,Essence,10 776,2023
BMW X3 Luxury Line,65 000,Diesel,186 000,2006
Mercedes-Benz Classe C AMG,185 000,Essence,50 893,2022
KIA Picanto Populaire,43 000,Essence,3 805,2021
Lada 4x4 Urban,36 000,Essence,24 387,2018
Haval H6,126 000,Essence,12 442,2023
Nissan Juke Tekna,51 000,Essence,163 166,2014
Mitsubishi Pajero LIMITED EDITION,160 000,Diesel,20 742,2023
Mercedes-Benz CLA AMG Edition 1,169 900,Hybride,31 235,2021
Peugeot 308 GT-Line GT-Line,64 000,Diesel,96 300,2020
Toyota Prado,129 000,Diesel,199 425,2003
Mini 5 portes,135 000,Essence,18 000,2021
BMW Série 3 coupé,62 000,Essence,156 000,2010
Mahindra KUV 100 K6+,30 000,Essence,63 000,2021
Haval Jolion 1 ere,93 000,Essence,30 000,2023
Peugeot 308,126 000,Diesel,48 000,2023
Volkswagen Tiguan R-Line,198 000,Essence,54 723,2023
Peugeot Expert,59 000,Diesel,139 199,2019
Volkswagen Golf 8 R-Line,138 000,Hybride,36 651,2022
Mini Cabrio,48 000,Essence,86 111,2010
KIA Picanto 1 ère main,61 000,Essence,0,2024
Porsche Cayman S,275 000,Essence,39 508,2008
Seat Ibiza,54 000,Essence,99 519,2021
Toyota Land Cruiser,119 000,Diesel,316 620,2003
Mercedes-Benz GLC Coupé AMG,230 000,Hybride,82 415,2020
Mercedes-Benz Classe C AMG,65 000,Essence,249 000,2011
Mercedes-Benz Classe C,178 000,Essence,30 570,2021
Peugeot 3008,71 000,Essence,105 000,2017
Mercedes-Benz CLA AMG,225 000,Hybride,1 000,2024
Volkswagen Golf 8,88 000,Essence,85 181,2020
Volkswagen Golf 7 Join,79 000,Essence,86 000,2018
Volkswagen T-roc,78 000,Essence,74 107,2019
Renault Symbol,36 000,Essence,115 000,2020
Mercedes-Benz CLA AMG,185 000,Hybride,18 500,2023
Mercedes-Benz Classe A AMG,135 000,Essence,68 000,2018
BMW Série 3 Luxury,65 000,Essence,112 000,2013
Audi Q5 S-line,110 000,Diesel,176 000,2015
Mercedes-Benz Classe C AMG,145 000,Diesel,145 000,2019
Peugeot 2008 Allure Toit Cielo Blanc Nacré,50 000,Essence,125 000,2018
Mercedes-Benz Classe A AMG,119 000,Diesel,141 000,2019
Volkswagen Golf 8 GTE,145 000,Hybride,26 000,2021
Mercedes-Benz CLA AMG,220 000,Hybride,6 000,2024
Mercedes-Benz Classe A AMG Premium,78 000,Essence,131 000,2013
KIA Picanto,46 500,Essence,28 000,2021
Ford Fusion Titanium,48 000,Essence,217 000,2016
Mini 5 portes Très bon état,49 800,Essence,160 000,2016
BMW Série 3,45 000,Essence,180 000,2012
Seat Leon 1.2L,60 000,Essence,140 000,2018
Land Rover Range Rover Sport,200 000,Essence,190 000,2015
Peugeot 3008 1.2L,89 000,Essence,70 000,2020
Volkswagen Golf 8,87 000,Essence,58 000,2022
KIA Sportage 1.6L Diesel,89 000,Diesel,105 000,2018
Mercedes-Benz Classe C,55 500,Essence,235 000,2013
Audi Q5 2.0L,47 000,Essence,255 000,2009
Volkswagen Golf 8,139 000,Essence,40 000,2023
Mercedes-Benz Classe C AMG,89 000,Essence,164 000,2014
Mercedes-Benz Classe E 1.6L,138 000,Essence,132 000,2017
Seat Leon Xcellence,108 000,Essence,37 000,2023
Jeep Wrangler 4.0L,72 000,Essence,200 000,1989
Renault Clio 1.0L,38 500,Essence,135 000,2021
Audi A3 Sportback 1.2L,78 500,Essence,125 000,2019
Cupra Formentor 1.5L,119 000,Hybride,19 000,2022
Ford Fusion 1.6,55 500,Essence,90 000,2017
Mazda 3,49 500,Essence,124 000,2017
Nissan Juke,39 500,Essence,160 000,2015
Volvo XC60 2.0L,227 000,Essence,18 000,2022
Hyundai Grand i10 1.0L,39 800,Essence,57 000,2021
Skoda Fabia 1.6L,43 000,Essence,137 000,2018
BMW Série 5 520,75 000,Essence,182 000,2014
Volkswagen Golf 8 1.5L,93 000,Essence,80 000,2021
BMW X2 S drive,132 000,Essence,74 000,2020
Volkswagen Golf 7 Importé,73 500,Essence,40 000,2020
BMW X1 1.6L,85 000,Essence,126 000,2016
BMW Série 1 M,138 500,Essence,40 000,2022
Citroën Berlingo Utilitaire 1.6L,58 500,Diesel,31 000,2023
Citroën C3,38 000,Essence,92 000,2018
Citroën C3 Live,34 500,Essence,119 000,2019
Citroën C4,38 000,Essence,109 000,2012
Peugeot 3008 Allure,88 000,Essence,38 000,2019
Mercedes-Benz Classe C Avantgarde,159 000,Essence,27 000,2022
Peugeot 3008 Allure,75 000,Essence,75 000,2020
BMW X4,139 000,Diesel,140 000,2018
Volkswagen Polo R-Line,65 500,Essence,70 000,2020
