Boite vitesse,Brand,Car ID,Carrosserie,Couleur extérieure,Couleur intérieure,Cylindrée,Date de l'annonce,Gouvernorat,Génération,Kilométrage,Marque,Mise en circulation,Model,Modèle,Moteur,Nombre de places,Nombre de portes,Price,Puissance,Puissance cumulée,Puissance fiscale,Puissance thermique,Sellerie,Transmission,Énergie
Automatique,bmw,108216,Berline,Noir,Beige,1000cm³,08.12.2024,Ariana,(F10) Berline05/2010 - 12/2013,180 000km,BMW,5.201,serie-5,Série 5,,5.0,5.0,75 000DT,,,10cv,,Cuir partiel,Traction,Diesel
Automatique,bmw,107371,SUV/4x4,Noir,Beige,1000cm³,08.12.2024,Ariana,M (F97) LCI08/2021 - Aujourd'hui,60 000km,BMW,7.2022,x3,X3,,5.0,5.0,295 000DT,,,11cv,,Cuir intégral,Traction,Essence
Automatique,bmw,105503,Berline,Blanc,Noir,1000cm³,08.12.2024,Ariana,(G30) Berline02/2017 - 06/2020,40 000km,BMW,6.202,serie-5,Série 5,520i 2.0 i 16V Steptronic8,5.0,5.0,170 000DT,184ch dyn,,10cv,,Cuir intégral,Traction,Essence
Automatique,bmw,105502,SUV/4x4,Noir,Noir,4395cm³,08.12.2024,Ariana,M (E71)03/2010 - 06/2014,90 000km,BMW,4.201,x6,X6,4.4 V8 32V xDrive,4.0,5.0,175 000DT,555ch dyn,,48cv,,Cuir intégral,Traction,Essence
Automatique,bmw,100791,Berline,Noir,Noir,1998cm³,08.12.2024,Kairouan,(G30) Berline02/2017 - 06/2020,100 000km,BMW,1.2018,serie-5,Série 5,520i 2.0 i 16V Steptronic8,5.0,5.0,148 000DT,211ch dyn,,10cv,,Cuir partiel,Traction,Essence
Automatique,bmw,107855,Berline,Noir,Beige,1597cm³,07.12.2024,Ariana,(G30) Berline02/2017 - 06/2020,97 000km,BMW,12.2017,serie-5,Série 5,520i 1.6 i 16V Steptronic8,5.0,4.0,120 000DT,170ch dyn,,10cv,,Cuir intégral,Propulsion,Essence
Manuelle,bmw,109069,Berline,Noir,Noir,2497cm³,07.12.2024,Tunis,(E60) LCI Berline01/2007 - 04/2010,320 000km,BMW,4.2008,serie-5,Série 5,525i 3.0 i 24V 218cv,5.0,5.0,43 000DT,218ch dyn,,14cv,,Cuir intégral,Propulsion,Essence
Automatique,bmw,109062,Berline,Blanc,Noir,1998cm³,07.12.2024,Sousse,(G20) Berline03/2019 - 05/2022,90 000km,BMW,10.2019,serie-3,Série 3,330e xDrive 2.0 TPT 16V 292 Plug in Hybrid,5.0,5.0,210 000DT,,292ch dyn,10cv,184ch dyn,Cuir intégral,Propulsion,Hybride rechargeable essence
Automatique,bmw,108992,SUV/4x4,Gris argent,Gris,1499cm³,05.12.2024,Kairouan,(F48) LCI07/2019 - Aujourd'hui,104 000km,BMW,12.202,ix1,iX1,25e xDrive 1.5 i 12V 220 Plug in Hybrid,5.0,5.0,114 000DT,,220ch dyn,6cv,125ch dyn,Cuir partiel,Traction,Hybride rechargeable essence
Automatique,bmw,108988,Citadine,Noir,Noir,1500cm³,05.12.2024,Tunis,(F40) 5 portes09/2019 - Aujourd'hui,94 000km,BMW,6.202,serie-1-5p,Série 1,118i 1.5 i 12V DCT7,5.0,5.0,125 000DT,136ch dyn,,8cv,,Cuir intégral,Traction,Essence
