Car ID,Brand,Model,Price,Kilométrage,Mise en circulation,Carrosserie,Boite vitesse,Cylindrée,Nombre de portes,Puissance fiscale,Transmission,Énergie
108434,hyundai,autre,72 000DT,26 000km,11.2021,Autres,Manuelle,2498cm³,3.0,8cv,Traction,Diesel
108130,hyundai,grand-i10,41 500DT,97 000km,2.202,Citadine,Automatique,999cm³,4.0,4cv,Traction,Essence
107219,hyundai,grand-i10,41 900DT,43 000km,2.2021,Citadine,Manuelle,999cm³,4.0,4cv,Traction,Essence
106655,hyundai,i20,43 000DT,132 000km,12.2016,Citadine,Manuelle,1198cm³,4.0,5cv,Traction,Essence
106012,hyundai,grand-i10,49 000DT,34 000km,12.2022,Citadine,Manuelle,1198cm³,4.0,5cv,Traction,Essence
105059,hyundai,coupe,30 000DT,138 000km,1.2003,Coupé,Manuelle,1598cm³,2.0,7cv,Traction,Essence
102539,hyundai,tucson-hybride,167 000DT,40 000km,1.2022,SUV/4x4,Automatique,1598cm³,4.0,7cv,Traction,Hybride diesel
93674,hyundai,veloster,44 900DT,140 000km,8.2016,Citadine,Automatique,,,8cv,Traction,Essence
109464,hyundai,grand-i10,38 500DT,79 500km,5.2021,Citadine,Manuelle,998cm³,5.0,4cv,Traction,Essence
108969,hyundai,tucson,117 000DT,115 000km,7.2021,SUV/4x4,Automatique,1598cm³,5.0,7cv,Traction,Hybride diesel
108001,hyundai,tucson,212 000DT,0km,9.2024,SUV/4x4,Automatique,1600cm³,4.0,7cv,Intégrale,Hybride diesel
109451,hyundai,grand-i10,33 800DT,159 000km,5.2017,Citadine,Manuelle,1200cm³,5.0,5cv,Traction,Essence
108935,hyundai,grand-i10-sedan,34 900DT,90 000km,2.2019,Berline,Manuelle,1200cm³,5.0,5cv,Traction,Essence
108336,hyundai,grand-i10,44 500DT,19 000km,3.2022,Compacte,Manuelle,1000cm³,5.0,4cv,Traction,Essence
105293,hyundai,tucson,120 000DT,82 648km,7.202,Autres,Automatique,1598cm³,4.0,7cv,Propulsion,Hybride diesel
109187,hyundai,ix35,55 000DT,324 765km,1.2013,SUV/4x4,Automatique,2000cm³,4.0,11cv,Intégrale,Diesel
108400,hyundai,creta,74 000DT,90 500km,2.202,SUV/4x4,Automatique,1497cm³,5.0,6cv,Traction,Essence
105425,hyundai,tucson,142 000DT,11 500km,5.2023,SUV/4x4,Automatique,1600cm³,5.0,10cv,Intégrale,Essence
108705,hyundai,tucson,147 000DT,40 000km,11.2022,SUV/4x4,Automatique,1599cm³,5.0,10cv,Intégrale,Essence
107314,hyundai,tucson,129 000DT,19 000km,6.2023,SUV/4x4,Automatique,1599cm³,5.0,9cv,Traction,Essence
105051,hyundai,tucson-hybride,138 000DT,120 000km,1.2022,SUV/4x4,Automatique,2000cm³,5.0,10cv,Traction,Hybride essence
104302,hyundai,tucson-hybride,137 000DT,80 000km,8.2021,SUV/4x4,Automatique,1599cm³,5.0,7cv,Traction,Hybride diesel
100062,hyundai,kona,79 000DT,30 000km,10.2021,SUV/4x4,Manuelle,1599cm³,5.0,6cv,Traction,Hybride essence
99925,hyundai,grand-i10,53 000DT,30 000km,8.2022,Citadine,Manuelle,1199cm³,5.0,5cv,Traction,Essence
99645,hyundai,grand-i10,53 000DT,54 000km,4.2021,Citadine,Automatique,1199cm³,5.0,5cv,Traction,Essence
97904,hyundai,tucson,161 000DT,24 000km,7.2023,SUV/4x4,Automatique,1599cm³,5.0,10cv,Traction,Essence
97901,hyundai,tucson,87 000DT,120 000km,1.202,SUV/4x4,Automatique,,,8cv,Traction,Essence
107911,hyundai,creta,74 000DT,76 000km,1.2019,Citadine,Manuelle,1600cm³,5.0,7cv,Traction,Essence
104720,hyundai,veloster,112 000DT,87 000km,9.2019,Coupé,Automatique,1600cm³,4.0,11cv,Traction,Essence
99439,hyundai,tucson-hybride,145 000DT,51 000km,11.2021,SUV/4x4,Automatique,1600cm³,5.0,7cv,Traction,Hybride diesel
108851,hyundai,ix35,66 500DT,160 000km,12.2016,SUV/4x4,Automatique,1699cm³,4.0,11cv,Traction,Diesel
